Num	Star	RA	Dec	Type
107	J013347.83+303338.1	23.449289999999998	30.560579999999998	WN4
108	J013347.96+304506.6	23.44983	30.751829999999998	WN
109	J013348.85+303949.6	23.45354	30.66378	WN
110	J013350.08+303818.9	23.45867	30.638579999999997	WN+O8-9
111	J013350.08+303856.2	23.45867	30.648940000000003	WC7+abs
112	J013350.23+303342.4	23.45929	30.56178	WN8-9
113	J013350.26+304134.7	23.45942	30.692970000000003	WC5-6
114	J013350.42+303834.2	23.460079999999998	30.64283	B1Ia+WN
115	J013350.71+305636.7	23.461289999999998	30.94353	WN3+neb
116	J013351.28+303811.8	23.46367	30.636609999999997	WC7+abs
117	J013351.84+303328.4	23.466	30.557890000000004	WC6
118	J013352.01+304023.5	23.46671	30.67319	WC4+abs
119	J013352.43+304351.7	23.46846	30.73103	WN8
120	J013352.71+303907.3	23.469620000000003	30.65203	WNE
121	J013352.71+304502.0	23.469620000000003	30.750559999999997	WC4
122	J013352.75+304444.4	23.46979	30.74567	WN
123	J013352.83+304347.8	23.47012	30.729940000000003	WNE
124	J013353.25+304413.6	23.471870000000003	30.737109999999998	WC
125	J013353.60+303851.6	23.473329999999997	30.64767	Ofpe/WN9
126	J013353.80+303528.7	23.47417	30.591309999999996	WNE
127	J013354.40+303453.2	23.476670000000002	30.58144	WC6
128	J013354.85+303222.8	23.47854	30.53967	WN9-10
129	J013355.33+302001.0	23.480539999999998	30.333609999999997	WN3+neb
130	J013355.60+304534.9	23.48167	30.759690000000003	WN
131	J013355.71+304501.3	23.482120000000002	30.750359999999997	WN7
132	J013355.87+304528.4	23.482789999999998	30.757890000000003	WN7
133	J013355.94+302732.1	23.483079999999998	30.458920000000003	WN3+B2I
134	J013355.94+303407.6	23.483079999999998	30.56878	WC4-5
135	J013356.23+303241.6	23.484289999999998	30.544890000000002	WC
136	J013356.33+303420.8	23.48471	30.572440000000004	WN3
137	J013356.38+303455.5	23.484920000000002	30.582079999999998	WC5
138	J013357.20+303512.0	23.488329999999998	30.58667	WNL
139	J013357.75+303416.3	23.49062	30.57119	WN
140	J013358.51+303431.4	23.49379	30.575390000000002	WNL
141	J013358.69+303526.5	23.49454	30.590690000000002	B1Ia+WNE
142	J013359.39+303337.5	23.49746	30.56042	WC6
143	J013359.60+303435.4	23.49833	30.5765	WN5
144	J013359.79+305150.0	23.49912	30.86389	WN2+O9I
145	J013359.81+303407.2	23.49921	30.56867	WNL
146	J013400.57+303809.3	23.502370000000003	30.635920000000002	WN?
147	J013400.90+303918.2	23.50375	30.65506	WN5
148	J013401.30+304004.7	23.50542	30.66797	WC6
149	J013401.73+303620.1	23.50721	30.60558	WC4+abs
150	J013402.30+303749.8	23.50958	30.6305	WN3-4+abs
151	J013402.93+305126.2	23.51221	30.85728	WN3+neb
152	J013406.80+304727.0	23.52833	30.79083	WN7+neb
153	J013407.85+304145.1	23.53271	30.695859999999996	WN
154	J013408.23+305234.2	23.53429	30.876170000000002	WN4
155	J013408.90+304732.0	23.53708	30.79222	WN3
156	J013409.12+303907.2	23.538	30.652	WC
157	J013410.72+305240.7	23.54467	30.87797	WN3
158	J013411.14+304637.5	23.54642	30.777079999999998	WC4
159	J013415.38+303423.2	23.56408	30.573109999999996	WN
160	J013415.51+303345.0	23.56462	30.5625	WN(E)
161	J013415.73+303400.7	23.56554	30.56686	WNL
162	J013415.85+305522.9	23.56604	30.923029999999997	WN4
163	J013416.07+303642.1	23.56696	30.611690000000003	Ofpe/WN9
164	J013416.28+303646.4	23.567829999999997	30.612890000000004	WC6+neb
