RAJ2000	DEJ2000
01 30 26.72	+31 17 41.6
01 30 26.99	+31 28 19.3
01 30 27.15	+30 27 39.2
01 30 27.26	+30 23 26.4
01 30 27.80	+30 12 14.4
01 30 27.82	+30 26 52.2
01 30 28.44	+31 15 06.8
01 30 28.57	+30 38 33.3
01 30 28.74	+30 08 38.1
01 30 29.21	+30 03 43.2
01 30 29.26	+30 17 06.3
01 30 29.55	+30 38 32.4
01 30 29.63	+31 07 54.5
01 30 29.64	+31 21 10.4
01 30 29.68	+29 57 19.8
01 30 29.86	+30 30 29.2
01 30 29.88	+30 37 58.4
01 30 29.93	+30 22 04.5
01 30 30.17	+30 48 02.9
01 30 30.25	+30 53 07.5
01 30 30.25	+30 27 02.5
01 30 30.53	+31 11 55.1
01 30 30.77	+30 36 37.2
01 30 30.85	+29 56 32.6
01 30 31.40	+30 11 00.9
01 30 31.50	+30 10 50.1
01 30 31.54	+30 32 35.3
01 30 31.78	+30 33 41.1
01 30 32.02	+29 54 15.3
01 30 32.29	+31 00 07.2
01 30 32.74	+30 34 29.3
01 30 32.74	+30 35 12.1
01 30 32.91	+31 22 27.2
01 30 33.34	+30 13 04.8
01 30 33.35	+30 16 00.9
01 30 33.66	+30 21 09.3
01 30 34.06	+30 53 43.6
01 30 34.23	+30 11 38.7
01 30 34.52	+31 14 30.6
01 30 35.86	+31 24 29.8
01 30 35.86	+29 54 04.0
01 30 35.97	+31 00 06.4
01 30 36.14	+31 01 03.8
01 30 36.47	+30 45 34.8
01 30 37.14	+30 45 48.8
01 30 37.29	+30 43 08.1
01 30 37.38	+30 14 15.1
01 30 37.39	+29 57 54.2
01 30 37.55	+31 26 21.6
01 30 37.61	+30 38 40.9
01 30 37.63	+30 08 06.1
01 30 37.95	+30 04 05.1
01 30 38.01	+30 56 42.7
01 30 38.03	+31 31 32.4
01 30 38.04	+30 53 14.3
01 30 38.11	+31 25 35.2
01 30 38.13	+30 08 41.0
01 30 38.61	+29 58 26.9
01 30 38.77	+30 58 54.6
01 30 38.90	+31 05 23.3
01 30 38.92	+31 00 32.8
01 30 38.99	+29 51 33.7
01 30 39.15	+30 09 37.2
01 30 39.31	+30 28 16.4
01 30 39.71	+30 19 00.0
01 30 40.48	+31 08 54.2
01 30 40.57	+31 21 33.3
01 30 41.06	+30 21 54.1
01 30 41.12	+30 57 01.9
01 30 41.29	+29 48 22.1
01 30 41.30	+31 14 50.4
01 30 41.35	+31 21 41.8
01 30 41.42	+31 06 50.0
01 30 41.43	+30 59 21.5
01 30 41.45	+30 08 34.5
01 30 41.57	+30 10 36.8
01 30 41.58	+30 51 05.7
01 30 41.66	+30 09 24.3
01 30 42.00	+30 10 20.3
01 30 42.04	+30 37 18.0
01 30 42.60	+30 00 02.7
01 30 42.79	+30 58 38.1
01 30 42.95	+29 55 46.3
01 30 43.11	+30 55 27.8
01 30 43.13	+30 19 35.4
01 30 43.16	+30 34 01.7
01 30 43.22	+31 08 19.5
01 30 43.34	+31 07 10.0
01 30 43.45	+30 02 16.3
01 30 43.53	+31 04 25.3
01 30 44.04	+30 28 22.3
01 30 44.15	+30 27 04.7
01 30 44.18	+30 53 17.9
01 30 44.21	+30 42 44.6
01 30 44.49	+29 47 59.6
01 30 44.56	+30 44 03.1
01 30 45.11	+30 46 38.6
01 30 45.35	+30 05 38.9
01 30 45.36	+30 37 34.5
01 30 45.45	+30 11 53.8
01 30 45.78	+31 17 08.3
01 30 45.99	+30 49 26.3
01 30 46.54	+30 16 36.7
01 30 46.64	+30 09 36.5
01 30 47.19	+30 25 29.4
01 30 47.95	+29 57 51.4
01 30 48.06	+29 59 53.4
01 30 48.26	+30 02 38.2
01 30 48.42	+30 54 59.4
01 30 48.79	+30 52 30.8
01 30 48.95	+30 13 18.7
01 30 49.44	+30 18 05.6
01 30 49.65	+31 30 46.3
01 30 49.71	+29 52 37.1
01 30 49.72	+30 47 13.2
01 30 49.76	+31 15 57.8
01 30 50.29	+30 15 05.2
01 30 50.38	+30 27 32.2
01 30 50.84	+30 03 33.7
01 30 50.85	+30 50 14.5
01 30 51.13	+30 11 08.1
01 30 51.17	+31 27 55.8
01 30 51.29	+30 15 16.7
01 30 51.32	+30 53 03.4
01 30 51.39	+30 41 11.5
01 30 51.43	+30 06 33.8
01 30 51.43	+30 39 23.9
01 30 51.50	+30 16 49.1
01 30 51.60	+30 03 58.0
01 30 51.77	+30 45 09.5
01 30 51.88	+31 24 35.5
01 30 52.60	+30 38 46.4
01 30 52.64	+31 28 44.8
01 30 52.65	+31 12 25.3
01 30 52.93	+30 40 44.9
01 30 53.65	+31 17 26.6
01 30 53.95	+31 21 05.9
01 30 54.04	+30 14 08.1
01 30 54.08	+29 53 06.1
01 30 54.14	+30 04 44.8
01 30 54.53	+30 15 33.8
01 30 54.53	+31 09 43.5
01 30 54.55	+29 50 23.2
01 30 54.70	+30 08 13.7
01 30 54.73	+31 06 51.6
01 30 54.87	+29 59 02.0
01 30 55.00	+30 02 10.2
01 30 55.15	+30 18 28.4
01 30 55.34	+31 12 21.7
01 30 55.43	+29 50 20.5
01 30 55.73	+31 10 57.6
01 30 56.00	+31 23 30.6
01 30 56.14	+31 00 18.6
01 30 56.28	+31 27 20.8
01 30 56.42	+31 05 29.1
01 30 56.58	+30 27 33.4
01 30 56.78	+30 29 12.3
01 30 57.18	+30 41 16.5
01 30 57.50	+31 01 53.0
01 30 57.74	+30 46 54.2
01 30 57.86	+30 56 29.7
01 30 58.03	+31 31 29.4
01 30 58.11	+31 24 46.7
01 30 58.13	+30 45 41.9
01 30 58.19	+31 14 11.7
01 30 58.45	+30 50 52.9
01 30 58.82	+31 07 24.2
01 30 58.85	+29 58 50.0
01 30 59.12	+30 04 25.6
01 30 59.28	+30 27 46.8
01 30 59.35	+30 16 22.8
01 30 59.80	+30 30 53.3
01 30 59.93	+31 12 01.5
01 31 00.02	+30 59 51.1
01 31 00.02	+30 43 21.7
01 31 00.38	+30 48 48.2
01 31 01.08	+30 59 38.6
01 31 01.21	+30 19 55.2
01 31 01.37	+30 00 16.6
01 31 01.75	+30 36 44.5
01 31 01.94	+30 36 32.1
01 31 02.21	+31 02 03.1
01 31 03.09	+31 11 59.4
01 31 03.28	+29 58 29.5
01 31 03.34	+31 24 48.0
01 31 03.40	+31 06 02.7
