RAJ2000	DEJ2000
01 32 14.47	+30 19 34.8
01 32 14.65	+31 22 10.7
01 32 14.76	+30 27 28.1
01 32 15.18	+30 25 09.6
01 32 15.22	+30 07 26.5
01 32 15.43	+31 00 51.3
01 32 15.48	+30 07 17.6
01 32 15.50	+30 35 10.6
01 32 15.62	+29 55 04.5
01 32 15.64	+31 11 38.7
01 32 15.66	+30 29 02.9
01 32 15.73	+31 16 17.0
01 32 15.80	+30 22 06.3
01 32 15.82	+31 23 00.6
01 32 15.97	+30 14 40.3
01 32 16.08	+30 36 29.8
01 32 16.11	+29 50 56.7
01 32 16.57	+29 58 50.9
01 32 16.61	+30 20 51.8
01 32 17.09	+31 24 34.7
01 32 17.30	+30 45 32.1
01 32 17.31	+31 09 17.7
01 32 17.37	+30 29 55.0
01 32 17.76	+30 30 03.2
01 32 18.03	+30 35 16.5
01 32 18.31	+31 15 51.5
01 32 18.39	+29 59 22.5
01 32 18.42	+30 05 44.4
01 32 18.82	+29 54 37.1
01 32 19.10	+30 03 59.1
01 32 19.13	+30 42 23.9
01 32 19.27	+31 21 51.7
01 32 19.32	+31 19 43.6
01 32 19.83	+31 12 41.5
01 32 19.96	+30 37 18.6
01 32 20.03	+30 34 18.0
01 32 20.32	+30 29 37.9
01 32 20.69	+31 21 52.2
01 32 20.95	+30 24 16.2
01 32 21.30	+30 08 13.6
01 32 21.39	+30 39 44.0
01 32 21.46	+29 49 21.0
01 32 21.51	+29 53 04.6
01 32 21.53	+30 10 28.4
01 32 21.86	+30 50 56.6
01 32 21.92	+31 18 53.5
01 32 22.30	+30 59 33.5
01 32 22.34	+30 48 43.2
01 32 22.36	+30 55 22.6
01 32 22.41	+31 04 05.9
01 32 22.54	+30 27 41.6
01 32 23.28	+30 03 02.5
01 32 23.47	+31 31 39.6
01 32 23.52	+30 35 16.0
01 32 23.60	+30 28 54.6
01 32 23.75	+29 57 19.7
01 32 24.04	+30 57 13.9
01 32 24.11	+30 18 37.8
01 32 24.30	+30 31 55.4
01 32 24.31	+30 25 05.4
01 32 24.48	+30 33 20.7
01 32 24.50	+30 08 09.1
01 32 24.51	+30 11 37.4
01 32 24.77	+31 16 42.2
01 32 24.87	+31 10 26.2
01 32 24.93	+31 17 16.2
01 32 24.97	+30 02 42.1
01 32 25.44	+30 36 09.4
01 32 25.57	+30 39 12.5
01 32 25.74	+31 04 07.3
01 32 25.78	+30 42 07.1
01 32 26.11	+30 19 31.0
01 32 26.13	+30 21 18.3
01 32 26.24	+30 58 22.2
01 32 26.29	+30 28 33.9
01 32 26.44	+30 35 14.6
01 32 26.53	+30 35 52.8
01 32 26.53	+31 27 41.5
01 32 26.61	+29 49 30.2
01 32 26.71	+31 09 17.4
01 32 26.75	+30 33 10.6
01 32 27.46	+31 05 25.4
01 32 27.57	+30 33 36.3
01 32 27.80	+30 57 18.7
01 32 28.05	+31 06 04.6
01 32 28.05	+30 35 35.1
01 32 28.19	+30 33 33.7
01 32 28.24	+30 17 58.8
01 32 28.34	+30 31 29.6
01 32 28.35	+30 36 47.5
01 32 28.38	+30 33 28.7
01 32 28.51	+30 19 23.2
01 32 28.53	+30 05 31.0
01 32 28.63	+30 03 08.8
01 32 28.68	+30 22 55.3
01 32 28.70	+30 20 13.9
01 32 28.70	+31 07 45.0
01 32 28.76	+30 30 58.0
01 32 28.78	+30 37 11.6
01 32 28.89	+30 34 04.7
01 32 28.92	+29 59 24.1
01 32 28.93	+31 11 37.0
01 32 29.00	+30 34 54.4
01 32 29.00	+30 12 49.7
01 32 29.18	+30 36 48.2
01 32 29.19	+30 34 17.3
01 32 29.20	+30 35 05.9
01 32 29.21	+30 36 20.6
01 32 29.36	+31 08 31.5
01 32 29.46	+30 34 10.7
01 32 29.48	+30 34 48.3
01 32 29.60	+30 28 02.4
01 32 29.75	+30 35 04.5
01 32 29.78	+30 33 36.7
01 32 30.02	+30 28 21.0
01 32 30.06	+30 37 20.7
01 32 30.08	+30 22 06.5
01 32 30.14	+30 24 41.6
01 32 30.30	+30 23 57.4
01 32 30.38	+31 16 46.6
01 32 30.41	+31 14 57.0
01 32 30.44	+31 27 12.3
01 32 30.68	+30 19 38.9
01 32 30.79	+30 45 39.1
01 32 31.03	+31 27 19.0
01 32 31.06	+30 01 54.5
01 32 31.09	+31 26 26.0
01 32 31.12	+31 01 57.3
01 32 31.21	+31 17 38.7
01 32 31.23	+31 16 13.5
01 32 31.27	+31 04 56.7
01 32 31.27	+30 33 54.7
01 32 31.43	+30 29 11.0
01 32 31.44	+30 34 15.8
01 32 31.46	+30 38 37.5
01 32 31.52	+30 20 46.3
01 32 31.53	+30 28 44.8
01 32 31.59	+30 44 25.2
01 32 31.79	+31 04 33.8
01 32 31.80	+31 00 55.9
01 32 31.86	+30 23 28.9
01 32 32.06	+30 55 43.7
01 32 32.10	+30 35 05.3
01 32 32.30	+30 04 02.4
01 32 32.44	+30 35 21.6
01 32 32.52	+30 49 56.7
01 32 32.62	+31 29 54.5
01 32 32.63	+30 28 31.0
01 32 32.64	+31 14 30.2
01 32 32.70	+30 40 40.6
01 32 32.75	+30 27 21.4
01 32 32.77	+30 28 55.4
01 32 32.77	+30 22 43.8
01 32 32.88	+30 42 30.8
01 32 32.94	+30 29 23.4
01 32 32.98	+30 40 40.4
01 32 33.05	+30 42 21.0
01 32 33.18	+31 02 51.9
01 32 33.19	+30 14 42.4
01 32 33.25	+30 55 18.7
01 32 33.41	+31 29 27.5
01 32 33.46	+30 15 11.5
01 32 33.67	+30 36 43.5
01 32 33.73	+30 27 18.4
01 32 33.80	+31 17 43.4
01 32 33.82	+31 25 27.7
01 32 33.84	+30 23 19.2
01 32 33.86	+30 34 02.9
01 32 33.92	+30 16 42.0
01 32 33.92	+30 29 11.3
01 32 33.99	+30 29 03.3
01 32 34.26	+30 32 10.7
01 32 34.31	+30 28 28.5
01 32 34.42	+30 57 45.1
01 32 34.43	+30 29 03.0
01 32 34.47	+30 15 42.9
01 32 34.48	+31 02 53.8
01 32 34.54	+30 33 47.3
01 32 34.59	+30 06 32.8
01 32 34.61	+30 34 29.0
01 32 34.62	+30 30 58.3
01 32 34.67	+30 32 22.5
01 32 34.74	+30 43 44.3
01 32 34.82	+30 43 59.9
01 32 34.97	+30 41 21.9
01 32 35.04	+30 48 17.2
01 32 35.18	+30 29 08.3
01 32 35.21	+30 29 38.9
01 32 35.34	+29 50 14.3
01 32 35.36	+29 50 59.1
01 32 35.42	+29 50 12.6
01 32 35.47	+30 28 40.3
01 32 35.51	+30 44 15.1
01 32 35.56	+30 02 07.3
01 32 35.66	+29 55 41.8
01 32 35.79	+30 30 06.5
01 32 35.88	+30 49 03.4
01 32 35.89	+29 55 17.0
01 32 36.03	+31 03 28.6
01 32 36.07	+31 25 18.8
01 32 36.29	+31 23 44.3
01 32 36.43	+30 31 50.4
01 32 36.48	+30 28 39.5
01 32 36.55	+30 14 17.0
01 32 36.62	+30 00 55.2
01 32 36.68	+30 29 33.1
01 32 36.92	+30 29 03.5
01 32 36.93	+31 11 18.9
01 32 37.02	+30 20 21.3
01 32 37.03	+30 30 40.3
01 32 37.08	+30 24 00.4
01 32 37.11	+30 19 10.4
01 32 37.23	+30 43 36.9
01 32 37.25	+30 44 09.7
01 32 37.47	+30 14 49.4
01 32 37.48	+30 30 31.1
01 32 37.51	+30 29 53.6
01 32 37.59	+31 21 21.5
01 32 37.74	+29 49 21.7
01 32 37.74	+30 27 25.4
01 32 37.77	+30 23 21.7
01 32 37.92	+30 28 16.3
01 32 38.03	+30 31 16.5
01 32 38.22	+30 02 11.9
01 32 38.24	+30 22 44.0
01 32 38.26	+30 24 12.1
01 32 38.32	+30 10 43.6
01 32 38.50	+30 38 05.2
01 32 38.63	+30 21 43.5
01 32 38.65	+30 17 43.5
01 32 38.70	+29 51 11.7
01 32 38.72	+30 25 49.4
01 32 38.77	+30 52 14.9
01 32 38.99	+30 58 42.4
01 32 39.04	+30 20 20.5
01 32 39.07	+30 29 22.3
01 32 39.09	+31 00 31.5
01 32 39.23	+30 47 33.9
01 32 39.40	+31 09 07.4
01 32 39.43	+29 53 20.6
01 32 39.60	+30 35 26.5
01 32 39.69	+30 23 42.8
01 32 39.73	+30 24 33.8
01 32 39.82	+30 23 00.4
01 32 39.85	+31 30 20.8
01 32 39.97	+30 29 54.7
01 32 39.99	+30 39 37.0
01 32 40.12	+31 07 50.6
01 32 40.23	+30 33 28.7
01 32 40.73	+30 31 46.5
01 32 40.75	+30 52 15.8
01 32 40.86	+30 40 12.1
01 32 40.87	+30 53 36.6
01 32 40.87	+31 18 07.7
01 32 40.92	+30 43 16.2
01 32 41.09	+30 22 24.3
01 32 41.34	+30 37 09.5
01 32 41.46	+30 16 36.8
01 32 41.52	+30 24 12.4
01 32 41.53	+30 14 37.0
01 32 41.86	+30 22 48.1
01 32 41.90	+30 20 47.5
01 32 41.92	+30 37 04.0
01 32 42.01	+31 15 05.1
01 32 42.02	+30 22 38.7
01 32 42.05	+30 22 06.9
01 32 42.06	+30 43 51.6
01 32 42.24	+30 03 07.1
01 32 42.28	+30 26 25.6
01 32 42.56	+31 01 50.7
01 32 42.56	+30 33 07.8
01 32 42.57	+30 23 00.0
01 32 42.67	+30 42 41.0
01 32 42.75	+30 21 23.1
01 32 42.76	+30 24 58.6
01 32 42.76	+30 42 49.2
01 32 43.04	+30 35 41.0
01 32 43.24	+31 09 48.5
01 32 43.51	+31 26 21.7
01 32 43.58	+30 28 39.9
01 32 43.60	+30 23 39.0
01 32 43.63	+30 46 21.4
01 32 43.65	+30 40 05.0
01 32 43.68	+30 19 12.4
01 32 43.84	+30 23 19.8
01 32 43.93	+30 31 14.2
01 32 44.02	+30 20 46.3
01 32 44.04	+29 54 22.3
01 32 44.10	+31 06 07.7
01 32 44.14	+30 23 01.9
01 32 44.30	+30 37 04.7
01 32 44.41	+31 05 44.6
01 32 44.51	+31 09 15.9
01 32 44.55	+30 50 40.9
01 32 44.55	+31 15 57.2
01 32 44.66	+30 25 10.5
01 32 44.93	+30 20 27.4
01 32 44.97	+30 35 06.0
01 32 44.97	+30 55 23.9
01 32 45.03	+30 23 26.2
01 32 45.08	+30 13 57.9
01 32 45.30	+30 48 09.3
01 32 45.49	+29 57 48.0
01 32 45.54	+31 07 20.4
01 32 45.54	+30 35 18.5
01 32 45.56	+30 02 37.9
01 32 45.64	+30 44 59.1
01 32 45.82	+31 01 04.2
01 32 45.84	+31 04 25.8
01 32 45.93	+30 39 44.5
01 32 46.11	+31 27 38.3
01 32 46.21	+30 14 35.1
01 32 46.35	+30 42 57.4
01 32 46.36	+30 58 58.1
01 32 46.40	+30 35 42.2
01 32 46.40	+30 47 05.9
01 32 46.41	+30 09 49.5
01 32 46.41	+30 33 51.2
01 32 46.51	+30 19 49.0
01 32 46.54	+30 36 57.5
01 32 46.63	+30 28 17.0
01 32 46.66	+30 19 50.0
01 32 46.69	+31 03 00.6
01 32 46.77	+30 21 38.9
01 32 46.95	+30 46 17.1
01 32 46.97	+30 30 44.8
01 32 46.97	+30 21 30.6
01 32 47.00	+31 02 23.7
01 32 47.07	+30 37 30.0
01 32 47.20	+30 15 13.9
01 32 47.29	+30 45 25.3
01 32 47.32	+31 21 07.8
01 32 47.34	+30 34 04.5
01 32 47.40	+30 43 34.7
01 32 47.52	+30 39 45.3
01 32 47.57	+30 16 14.0
01 32 47.72	+30 42 16.3
01 32 47.79	+30 41 06.3
01 32 48.01	+30 22 39.2
01 32 48.09	+31 25 29.7
01 32 48.24	+30 41 35.3
01 32 48.31	+30 02 01.1
01 32 48.51	+31 11 06.4
01 32 48.55	+30 10 20.9
01 32 48.68	+30 34 35.8
01 32 48.72	+30 16 22.8
01 32 48.91	+30 52 25.1
01 32 48.92	+30 43 32.6
01 32 48.96	+30 53 53.2
01 32 49.05	+30 50 46.8
01 32 49.08	+30 16 04.7
01 32 49.28	+30 37 24.6
01 32 49.30	+30 17 11.1
01 32 49.33	+30 52 27.5
01 32 49.35	+30 39 08.3
01 32 49.47	+30 36 45.7
01 32 49.49	+30 56 17.7
01 32 49.53	+30 39 47.2
01 32 49.55	+30 40 38.2
01 32 49.63	+30 43 04.6
01 32 49.67	+30 34 02.5
01 32 49.71	+30 42 48.7
01 32 49.79	+30 34 48.5
01 32 49.83	+30 28 11.2
01 32 49.89	+30 36 32.0
01 32 50.01	+31 23 43.8
01 32 50.05	+29 58 12.7
01 32 50.17	+30 40 47.5
01 32 50.20	+30 39 05.2
01 32 50.34	+30 24 37.8
01 32 50.35	+30 42 11.8
01 32 50.59	+30 35 01.6
01 32 50.60	+30 10 44.4
01 32 50.64	+31 09 56.8
01 32 50.66	+30 22 51.0
01 32 50.67	+30 39 25.2
01 32 50.75	+30 58 25.2
01 32 50.76	+30 35 18.7
01 32 50.76	+30 35 07.1
01 32 50.78	+30 30 42.7
01 32 50.86	+30 36 45.9
01 32 50.87	+30 28 12.7
01 32 50.96	+29 48 13.2
01 32 51.25	+30 34 45.3
01 32 51.29	+30 39 34.7
01 32 51.31	+30 30 31.9
01 32 51.31	+31 06 15.0
01 32 51.35	+30 39 11.5
01 32 51.37	+30 22 49.9
01 32 51.37	+30 38 28.5
01 32 51.47	+30 22 43.1
01 32 51.85	+30 39 54.3
01 32 51.85	+30 28 34.6
01 32 51.93	+30 50 11.9
01 32 51.95	+30 36 22.4
01 32 51.97	+30 54 25.4
01 32 51.98	+30 32 10.6
01 32 52.02	+30 16 28.8
01 32 52.04	+30 35 54.4
01 32 52.09	+30 52 41.1
01 32 52.10	+30 34 54.0
01 32 52.13	+31 16 32.0
01 32 52.17	+30 16 51.3
01 32 52.22	+30 35 13.8
01 32 52.26	+30 21 45.6
01 32 52.30	+30 35 46.6
01 32 52.32	+30 44 13.8
01 32 52.32	+30 26 14.4
01 32 52.33	+30 21 11.8
01 32 52.34	+30 26 12.1
01 32 52.37	+30 38 18.7
01 32 52.42	+30 36 41.6
01 32 52.56	+30 15 06.5
01 32 52.57	+30 38 20.3
01 32 52.64	+31 26 08.9
01 32 52.76	+30 36 26.4
01 32 52.77	+30 43 17.7
01 32 52.81	+30 40 00.0
01 32 52.87	+30 37 11.7
01 32 52.87	+30 27 38.1
01 32 52.95	+30 37 41.0
01 32 53.06	+30 30 06.2
01 32 53.10	+30 35 15.1
01 32 53.11	+30 34 45.1
01 32 53.22	+30 31 51.6
01 32 53.25	+30 39 09.9
01 32 53.28	+30 39 43.5
01 32 53.30	+30 40 44.3
01 32 53.30	+30 32 07.9
01 32 53.35	+30 34 59.7
01 32 53.67	+30 32 08.6
01 32 53.71	+30 39 38.7
01 32 53.75	+30 23 09.0
01 32 53.81	+30 37 52.9
01 32 53.81	+30 35 58.0
01 32 53.94	+30 24 27.8
01 32 54.12	+30 35 17.1
01 32 54.17	+30 46 15.5
01 32 54.17	+30 49 22.9
01 32 54.24	+30 36 04.5
01 32 54.28	+30 38 05.2
01 32 54.30	+30 38 27.1
01 32 54.37	+29 49 50.7
01 32 54.49	+30 51 18.0
01 32 54.53	+29 55 08.3
01 32 54.54	+30 39 38.8
01 32 54.56	+30 38 43.4
01 32 54.56	+30 24 19.1
01 32 54.58	+30 52 07.6
01 32 54.59	+30 34 43.0
01 32 54.59	+30 39 31.5
01 32 54.61	+30 33 09.8
01 32 54.70	+30 25 33.3
01 32 54.76	+30 33 46.2
01 32 54.85	+30 39 22.0
01 32 54.89	+30 24 10.8
01 32 54.97	+30 39 33.4
01 32 55.04	+30 36 35.0
01 32 55.08	+30 57 48.9
01 32 55.10	+30 37 58.1
01 32 55.11	+30 20 26.2
01 32 55.13	+30 31 56.6
01 32 55.17	+30 09 16.7
01 32 55.21	+30 47 40.7
01 32 55.27	+30 23 23.6
01 32 55.36	+30 16 15.9
01 32 55.40	+31 22 32.0
01 32 55.43	+30 13 49.1
01 32 55.48	+30 35 17.0
01 32 55.54	+30 29 24.5
01 32 55.58	+30 35 39.2
01 32 55.60	+30 33 02.2
01 32 55.64	+30 31 26.2
01 32 55.67	+29 56 05.2
01 32 55.82	+31 01 21.5
01 32 55.87	+30 37 16.0
01 32 55.93	+30 34 46.1
01 32 55.94	+30 35 06.6
01 32 56.07	+30 36 35.9
01 32 56.13	+30 33 22.8
01 32 56.13	+30 34 08.2
01 32 56.14	+30 37 00.2
01 32 56.14	+30 46 02.6
01 32 56.16	+30 23 36.9
01 32 56.18	+30 27 51.8
01 32 56.24	+30 38 43.9
01 32 56.33	+30 23 35.9
01 32 56.33	+30 40 17.4
01 32 56.36	+30 57 34.5
01 32 56.36	+30 37 29.6
01 32 56.39	+30 35 49.2
01 32 56.41	+30 32 48.7
01 32 56.46	+30 36 00.6
01 32 56.48	+30 39 42.5
01 32 56.53	+30 11 06.0
01 32 56.54	+30 31 46.0
01 32 56.57	+31 30 53.6
01 32 56.60	+30 24 12.1
01 32 56.63	+30 23 47.9
01 32 56.66	+30 27 26.7
01 32 56.68	+30 39 03.4
01 32 56.73	+30 31 41.4
01 32 56.75	+30 35 30.7
01 32 56.79	+30 23 47.7
01 32 56.79	+30 25 25.8
01 32 56.84	+30 38 38.5
01 32 56.84	+30 21 57.3
01 32 56.87	+29 53 27.6
01 32 56.91	+30 43 14.3
01 32 56.91	+30 39 39.4
01 32 56.93	+30 35 30.2
01 32 56.94	+31 03 47.2
01 32 56.95	+30 00 00.1
01 32 56.95	+30 24 18.8
01 32 57.00	+30 30 43.9
01 32 57.06	+30 09 33.7
01 32 57.10	+30 36 03.9
01 32 57.13	+30 23 40.3
01 32 57.15	+30 41 07.4
01 32 57.15	+30 46 24.2
01 32 57.16	+31 17 16.8
01 32 57.19	+30 23 12.2
01 32 57.26	+30 12 57.9
01 32 57.31	+30 35 42.0
01 32 57.36	+30 33 14.5
01 32 57.39	+30 34 46.5
01 32 57.39	+30 46 43.4
01 32 57.41	+30 31 58.5
01 32 57.44	+30 37 02.6
01 32 57.44	+31 16 01.9
01 32 57.53	+30 07 44.5
01 32 57.57	+30 29 27.7
01 32 57.62	+30 24 19.7
01 32 57.65	+30 35 05.5
01 32 57.67	+30 34 45.8
01 32 57.73	+30 12 25.7
01 32 57.73	+30 43 22.9
01 32 57.81	+30 35 54.7
01 32 57.86	+30 24 59.9
01 32 57.93	+30 52 10.0
01 32 58.03	+30 52 07.6
01 32 58.03	+30 49 02.5
01 32 58.07	+30 12 13.9
01 32 58.13	+30 36 06.1
01 32 58.14	+30 26 33.6
01 32 58.15	+30 34 00.9
01 32 58.19	+30 40 05.8
01 32 58.21	+30 25 38.5
01 32 58.23	+30 37 00.8
01 32 58.23	+30 11 48.3
01 32 58.42	+30 35 37.4
01 32 58.57	+30 53 53.3
01 32 58.65	+30 34 50.7
01 32 58.72	+30 35 41.9
01 32 58.73	+30 54 08.0
01 32 58.78	+30 40 34.2
01 32 58.78	+30 48 14.3
01 32 58.79	+30 37 17.2
01 32 58.84	+31 29 23.9
01 32 58.95	+30 34 05.0
01 32 59.04	+30 34 55.7
01 32 59.04	+31 27 07.6
01 32 59.05	+30 50 53.5
01 32 59.05	+29 52 26.6
01 32 59.06	+30 27 11.9
01 32 59.08	+30 30 42.8
01 32 59.11	+30 39 18.2
01 32 59.12	+29 52 38.9
01 32 59.15	+30 21 50.4
01 32 59.26	+30 12 04.8
01 32 59.27	+30 32 10.5
01 32 59.34	+30 33 39.9
01 32 59.37	+30 36 22.9
01 32 59.45	+30 34 42.8
01 32 59.46	+30 33 48.6
01 32 59.52	+30 43 48.7
01 32 59.55	+30 22 10.9
01 32 59.55	+30 31 17.4
01 32 59.57	+30 17 01.4
01 32 59.64	+30 41 29.6
01 32 59.64	+30 31 36.9
01 32 59.66	+30 34 52.5
01 32 59.69	+30 15 53.2
01 32 59.70	+30 41 54.7
01 32 59.77	+30 32 31.2
01 32 59.86	+30 27 28.0
01 32 59.94	+30 33 25.8
01 32 59.95	+30 21 02.5
01 32 59.98	+30 29 28.0
01 33 00.02	+30 33 41.2
01 33 00.04	+30 34 21.1
01 33 00.04	+30 49 42.9
01 33 00.10	+30 38 27.3
01 33 00.20	+31 11 57.0
01 33 00.23	+29 48 13.3
01 33 00.24	+30 34 56.6
01 33 00.26	+31 27 55.8
01 33 00.28	+30 30 37.7
01 33 00.37	+30 32 41.8
01 33 00.42	+30 42 03.6
01 33 00.48	+30 23 29.9
01 33 00.48	+31 29 17.5
01 33 00.55	+31 20 44.6
01 33 00.61	+30 34 26.1
01 33 00.68	+30 11 18.0
01 33 00.73	+29 59 06.7
01 33 00.81	+30 45 16.9
01 33 00.85	+30 58 54.5
01 33 00.89	+30 35 47.5
01 33 00.90	+30 34 04.1
01 33 00.94	+30 28 07.0
01 33 00.98	+30 35 00.5
01 33 00.99	+30 25 05.7
01 33 00.99	+30 33 27.0
01 33 01.07	+30 28 53.5
01 33 01.10	+30 35 45.2
01 33 01.12	+30 30 57.2
01 33 01.19	+30 30 50.9
01 33 01.20	+31 11 06.8
01 33 01.23	+30 38 52.1
01 33 01.25	+30 31 59.1
01 33 01.25	+30 36 34.8
01 33 01.31	+30 16 55.3
01 33 01.34	+30 33 15.0
01 33 01.35	+31 17 49.7
01 33 01.36	+30 22 59.4
01 33 01.44	+30 42 04.1
01 33 01.47	+30 11 24.0
01 33 01.48	+30 34 13.0
01 33 01.49	+30 47 00.5
01 33 01.57	+30 58 25.9
01 33 01.61	+30 34 32.2
01 33 01.66	+30 33 29.3
01 33 01.69	+30 34 16.1
01 33 01.72	+30 35 53.2
01 33 01.75	+30 32 10.7
01 33 01.76	+30 39 54.1
01 33 01.76	+31 18 05.6
01 33 01.86	+30 32 25.9
01 33 01.87	+30 39 51.7
01 33 01.93	+30 18 58.4
01 33 01.93	+31 21 23.0
01 33 01.95	+30 35 48.1
01 33 02.02	+30 34 38.5
01 33 02.12	+30 33 42.3
01 33 02.16	+30 34 36.8
01 33 02.20	+30 20 41.4
01 33 02.31	+30 27 49.1
01 33 02.33	+30 37 11.4
01 33 02.33	+30 24 55.5
01 33 02.34	+30 21 14.9
01 33 02.42	+30 38 08.6
01 33 02.42	+30 27 00.7
01 33 02.43	+30 37 26.1
01 33 02.43	+30 49 32.0
01 33 02.55	+30 42 50.2
01 33 02.74	+30 28 56.7
01 33 02.75	+30 23 34.3
01 33 02.77	+29 47 58.8
01 33 02.90	+30 26 08.0
01 33 02.91	+30 25 21.9
01 33 02.93	+30 32 32.5
01 33 03.08	+31 13 48.3
01 33 03.25	+29 56 08.1
01 33 03.32	+30 20 00.2
01 33 03.41	+30 32 20.7
01 33 03.46	+30 36 39.6
01 33 03.49	+30 32 00.9
01 33 03.51	+30 13 11.1
01 33 03.51	+30 31 39.0
01 33 03.52	+30 25 39.3
01 33 03.56	+30 28 41.2
01 33 03.56	+30 56 03.8
01 33 03.57	+30 39 03.9
01 33 03.65	+31 17 07.5
01 33 03.67	+30 04 33.9
01 33 03.72	+30 47 28.8
01 33 03.75	+30 32 59.0
01 33 03.83	+30 28 41.7
01 33 03.83	+30 30 41.0
01 33 03.88	+30 22 48.7
01 33 03.90	+31 21 03.9
01 33 03.96	+30 35 05.7
01 33 03.98	+30 32 15.0
01 33 04.01	+30 24 51.1
01 33 04.04	+31 06 11.0
01 33 04.06	+30 12 00.6
01 33 04.19	+30 30 17.4
01 33 04.24	+30 28 37.9
01 33 04.35	+31 08 53.7
01 33 04.36	+30 35 24.9
01 33 04.42	+30 33 48.7
01 33 04.46	+30 22 47.4
01 33 04.47	+30 32 34.8
01 33 04.51	+30 30 43.0
01 33 04.64	+30 44 55.9
01 33 04.73	+30 36 29.4
01 33 04.77	+30 33 38.0
01 33 04.78	+30 33 02.5
01 33 04.89	+30 58 44.4
01 33 04.92	+30 33 11.1
01 33 04.94	+30 32 55.5
01 33 04.96	+30 31 39.5
01 33 04.97	+30 37 42.3
01 33 05.02	+30 37 07.0
01 33 05.12	+30 31 19.6
01 33 05.14	+30 33 21.8
01 33 05.18	+30 33 02.0
01 33 05.20	+30 16 21.9
01 33 05.21	+30 33 26.2
01 33 05.26	+30 32 51.1
01 33 05.27	+30 33 22.8
01 33 05.30	+30 32 59.2
01 33 05.35	+30 31 29.1
01 33 05.36	+31 16 27.4
01 33 05.43	+30 31 38.3
01 33 05.46	+30 32 23.0
01 33 05.47	+30 32 06.1
01 33 05.47	+30 31 32.6
01 33 05.47	+31 05 50.4
01 33 05.48	+30 32 49.3
01 33 05.48	+30 31 19.9
01 33 05.49	+30 32 20.3
01 33 05.51	+29 50 14.4
01 33 05.52	+30 15 58.8
01 33 05.58	+30 32 25.0
01 33 05.58	+31 09 23.7
01 33 05.59	+30 32 09.4
01 33 05.65	+30 32 19.9
01 33 05.77	+30 32 22.8
01 33 05.80	+30 24 08.7
01 33 05.86	+30 27 51.8
01 33 05.86	+30 30 53.6
01 33 05.91	+30 30 14.4
01 33 05.92	+30 19 22.3
01 33 06.03	+31 08 51.3
01 33 06.10	+30 37 14.9
01 33 06.11	+30 33 33.5
01 33 06.13	+30 30 35.1
01 33 06.18	+30 32 17.9
01 33 06.19	+30 32 32.5
01 33 06.29	+30 32 07.9
01 33 06.35	+29 56 07.7
01 33 06.36	+30 34 45.1
01 33 06.39	+30 35 54.3
01 33 06.41	+30 29 40.9
01 33 06.43	+30 19 33.3
01 33 06.43	+29 58 44.7
01 33 06.45	+30 59 54.8
01 33 06.46	+30 00 43.3
01 33 06.59	+30 50 24.8
01 33 06.59	+30 29 23.0
01 33 06.60	+30 41 36.4
01 33 06.61	+30 14 58.5
01 33 06.65	+30 33 16.0
01 33 06.67	+30 37 28.3
01 33 06.72	+30 11 42.5
01 33 06.72	+30 19 04.8
01 33 06.73	+30 33 06.1
01 33 06.76	+30 57 38.6
01 33 06.78	+30 30 39.2
01 33 06.82	+30 30 32.9
01 33 06.84	+30 30 04.4
01 33 06.92	+30 35 05.9
01 33 07.06	+30 33 34.9
01 33 07.07	+30 34 54.9
01 33 07.24	+30 42 56.6
01 33 07.25	+31 04 19.4
01 33 07.26	+30 43 42.8
01 33 07.26	+30 31 46.8
01 33 07.33	+30 45 43.1
01 33 07.40	+30 43 40.6
01 33 07.40	+30 31 49.3
01 33 07.42	+30 24 52.3
01 33 07.42	+30 13 43.9
01 33 07.47	+30 32 19.6
01 33 07.48	+30 11 25.3
01 33 07.56	+30 42 58.8
01 33 07.56	+30 31 16.7
01 33 07.59	+30 17 26.0
01 33 07.61	+30 40 50.7
01 33 07.64	+30 49 51.6
01 33 07.66	+30 29 53.1
01 33 07.76	+30 56 47.5
01 33 07.85	+30 31 17.2
01 33 07.85	+30 30 42.1
01 33 07.86	+30 32 27.9
01 33 07.91	+30 38 38.5
01 33 07.92	+30 23 14.4
01 33 07.92	+30 54 14.1
01 33 07.94	+30 38 30.6
01 33 07.99	+31 18 20.1
01 33 08.00	+30 31 41.8
01 33 08.01	+30 27 53.8
01 33 08.06	+30 32 56.4
01 33 08.09	+30 31 33.8
01 33 08.11	+30 30 28.2
01 33 08.11	+30 19 46.5
01 33 08.18	+30 31 16.2
01 33 08.27	+30 41 34.3
01 33 08.32	+30 28 58.6
01 33 08.36	+30 33 15.6
01 33 08.39	+30 31 42.8
01 33 08.64	+30 30 09.5
01 33 08.65	+30 18 23.3
01 33 08.65	+30 34 09.1
01 33 08.74	+30 23 35.5
01 33 08.77	+30 22 36.4
01 33 08.79	+30 49 15.0
01 33 08.85	+30 46 32.1
01 33 08.87	+30 47 15.7
01 33 08.94	+29 47 58.5
01 33 09.05	+30 30 17.5
01 33 09.08	+30 31 51.9
01 33 09.09	+30 32 37.0
01 33 09.25	+30 47 02.1
01 33 09.28	+30 24 13.3
01 33 09.29	+30 32 52.4
01 33 09.29	+30 09 35.5
01 33 09.32	+30 27 29.8
01 33 09.41	+30 32 55.1
01 33 09.42	+31 05 24.6
